row_id,station,year,date,block_start,gridmet_wind_original_m_s,gridmet_wind_stuck_m_s
40,AFD,2013,2013-10-13,2013-10-13,2.70000000,2.70000000
41,AFD,2013,2013-10-21,2013-10-20,1.80000000,0.90000000
42,AFD,2013,2013-11-06,2013-11-03,1.70000000,1.30000000
43,AFD,2013,2013-11-14,2013-11-10,1.60000000,1.00000000
44,AFS,2011,2011-11-17,2011-11-17,0.60000000,0.60000000
45,AFS,2011,2011-12-03,2011-12-01,4.20000000,7.70000000
46,AFS,2011,2011-12-19,2011-12-15,1.20000000,1.20000000
47,AFS,2012,2012-02-05,2012-02-05,2.50000000,2.50000000
48,AFS,2012,2012-02-21,2012-02-19,1.30000000,2.80000000
49,AFS,2012,2012-03-08,2012-03-04,3.50000000,1.20000000
50,AFS,2012,2012-04-09,2012-04-08,2.60000000,1.80000000
51,AFS,2012,2012-05-11,2012-05-06,3.10000000,3.20000000
52,AFS,2012,2012-05-27,2012-05-27,2.00000000,2.00000000
53,AFS,2012,2012-06-12,2012-06-10,1.50000000,4.10000000
54,AFS,2012,2012-06-28,2012-06-24,4.00000000,4.90000000
55,AFS,2012,2012-07-14,2012-07-08,4.00000000,2.80000000
56,AFS,2012,2012-07-30,2012-07-29,2.50000000,2.80000000
57,AFS,2012,2012-08-15,2012-08-12,2.60000000,1.90000000
58,AFS,2012,2012-09-16,2012-09-16,2.00000000,2.00000000
59,AFS,2012,2012-10-02,2012-09-30,1.10000000,1.90000000
60,AFS,2012,2012-10-18,2012-10-14,1.90000000,1.80000000
61,AFS,2012,2012-11-03,2012-10-28,0.80000000,1.20000000
62,AFS,2012,2012-11-19,2012-11-18,2.50000000,3.80000000
63,AFS,2012,2012-12-21,2012-12-16,2.20000000,1.50000000
64,AFS,2013,2013-01-06,2013-01-06,1.60000000,1.60000000
65,AFS,2013,2013-01-22,2013-01-20,2.20000000,2.10000000
66,AFS,2013,2013-02-07,2013-02-03,1.90000000,1.00000000
67,AFS,2013,2013-02-23,2013-02-17,1.40000000,1.20000000
68,AFS,2013,2013-03-11,2013-03-10,1.40000000,3.30000000
69,AFS,2013,2013-04-12,2013-04-07,1.60000000,1.90000000
70,AFS,2013,2013-04-20,2013-04-14,2.70000000,2.70000000
71,AFS,2013,2013-04-28,2013-04-28,1.20000000,1.20000000
72,AFS,2013,2013-05-14,2013-05-12,3.60000000,1.00000000
73,AFS,2013,2013-05-22,2013-05-19,4.70000000,2.70000000
74,AFS,2013,2013-05-30,2013-05-26,1.80000000,3.60000000
75,AFS,2013,2013-06-07,2013-06-02,1.00000000,1.90000000
76,AFS,2013,2013-06-15,2013-06-09,3.10000000,2.80000000
77,AFS,2013,2013-06-23,2013-06-23,2.80000000,2.80000000
78,AFS,2013,2013-07-09,2013-07-07,3.30000000,3.70000000
79,AFS,2013,2013-07-17,2013-07-14,2.90000000,2.10000000
80,AFS,2013,2013-07-25,2013-07-21,2.30000000,3.20000000
81,AFS,2013,2013-08-02,2013-07-28,3.10000000,1.30000000
82,AFS,2013,2013-08-10,2013-08-04,3.00000000,2.90000000
83,AFS,2013,2013-08-18,2013-08-18,3.00000000,3.00000000
84,AFS,2013,2013-09-19,2013-09-15,3.00000000,2.30000000
85,AFS,2013,2013-09-27,2013-09-22,2.80000000,4.00000000
86,AFS,2013,2013-10-05,2013-09-29,3.60000000,2.00000000
87,AFS,2013,2013-10-13,2013-10-13,2.70000000,2.70000000
88,AFS,2013,2013-10-21,2013-10-20,1.80000000,0.90000000
89,AFS,2013,2013-11-06,2013-11-03,1.70000000,1.30000000
90,AFS,2013,2013-11-14,2013-11-10,1.60000000,1.00000000
91,ALARC2_Smith6,2018,2018-02-07,2018-02-07,3.10000000,3.10000000
92,ALARC2_Smith6,2018,2018-02-23,2018-02-21,4.30000000,1.20000000
93,ALARC2_Smith6,2018,2018-03-03,2018-02-28,3.10000000,3.00000000
94,ALARC2_Smith6,2018,2018-03-27,2018-03-21,4.30000000,1.70000000
95,ALARC2_Smith6,2018,2018-04-12,2018-04-11,5.30000000,3.30000000
96,ALARC2_Smith6,2018,2018-04-20,2018-04-18,2.10000000,2.10000000
97,ALARC2_Smith6,2018,2018-04-28,2018-04-25,3.00000000,2.00000000
98,ALARC2_Smith6,2018,2018-05-06,2018-05-02,1.80000000,3.40000000
99,ALARC2_Smith6,2018,2018-05-14,2018-05-09,2.30000000,2.80000000
100,ALARC2_Smith6,2018,2018-05-22,2018-05-16,2.90000000,2.30000000
101,ALARC2_Smith6,2018,2018-05-30,2018-05-30,3.50000000,3.50000000
102,Almond_High,2016,2016-10-18,2016-10-18,3.90000000,3.90000000
103,Almond_High,2016,2016-10-19,2016-10-18,2.10000000,3.90000000
104,Almond_High,2016,2016-10-26,2016-10-25,1.50000000,2.00000000
105,Almond_High,2016,2016-11-03,2016-11-01,1.50000000,2.50000000
106,Almond_High,2016,2016-11-11,2016-11-08,0.70000000,1.30000000
107,Almond_High,2016,2016-11-12,2016-11-08,2.20000000,1.30000000
108,Almond_High,2016,2016-11-19,2016-11-15,1.60000000,1.70000000
109,Almond_High,2016,2016-11-27,2016-11-22,2.10000000,1.40000000
110,Almond_High,2016,2016-12-13,2016-12-13,1.00000000,1.00000000
111,Almond_High,2016,2016-12-14,2016-12-13,1.50000000,1.00000000
112,Almond_High,2016,2016-12-22,2016-12-20,0.60000000,0.40000000
113,Almond_High,2016,2016-12-29,2016-12-27,0.40000000,1.00000000
114,Almond_High,2017,2017-01-06,2017-01-06,2.10000000,2.10000000
115,Almond_High,2017,2017-01-31,2017-01-27,0.60000000,0.70000000
116,Almond_High,2017,2017-02-23,2017-02-17,3.00000000,3.20000000
117,Almond_High,2017,2017-02-24,2017-02-24,1.10000000,1.10000000
118,Almond_High,2017,2017-03-03,2017-03-03,0.60000000,0.60000000
119,Almond_High,2017,2017-03-11,2017-03-10,1.80000000,1.90000000
120,Almond_High,2017,2017-03-12,2017-03-10,2.10000000,1.90000000
121,Almond_High,2017,2017-03-27,2017-03-24,3.20000000,1.10000000
122,Almond_High,2017,2017-03-28,2017-03-24,2.30000000,1.10000000
123,Almond_High,2017,2017-04-04,2017-03-31,1.20000000,2.90000000
124,Almond_High,2017,2017-04-12,2017-04-07,2.30000000,2.40000000
125,Almond_High,2017,2017-04-13,2017-04-07,2.50000000,2.40000000
126,Almond_High,2017,2017-04-20,2017-04-14,4.50000000,4.00000000
127,Almond_High,2017,2017-04-21,2017-04-21,1.70000000,1.70000000
128,Almond_High,2017,2017-04-28,2017-04-28,4.40000000,4.40000000
129,Almond_High,2017,2017-04-29,2017-04-28,2.10000000,4.40000000
130,Almond_High,2017,2017-05-07,2017-05-05,1.70000000,3.10000000
131,Almond_High,2017,2017-05-14,2017-05-12,2.80000000,5.90000000
132,Almond_High,2017,2017-05-15,2017-05-12,2.60000000,5.90000000
133,Almond_High,2017,2017-05-22,2017-05-19,1.40000000,1.40000000
134,Almond_High,2017,2017-05-23,2017-05-19,1.90000000,1.40000000
135,Almond_High,2017,2017-05-30,2017-05-26,3.00000000,1.90000000
136,Almond_High,2017,2017-06-07,2017-06-02,2.80000000,3.00000000
137,Almond_High,2017,2017-06-15,2017-06-09,3.90000000,3.10000000
138,Almond_High,2017,2017-06-16,2017-06-16,3.20000000,3.20000000
139,Almond_High,2017,2017-06-23,2017-06-23,2.40000000,2.40000000
140,Almond_High,2017,2017-07-01,2017-06-30,2.80000000,3.10000000
141,Almond_High,2017,2017-07-02,2017-06-30,2.60000000,3.10000000
142,Almond_High,2017,2017-07-09,2017-07-07,3.10000000,4.60000000
143,Almond_High,2017,2017-07-17,2017-07-14,3.40000000,2.30000000
144,Almond_High,2017,2017-07-18,2017-07-14,3.10000000,2.30000000
145,Almond_High,2017,2017-07-25,2017-07-21,2.60000000,3.40000000
146,Almond_High,2017,2017-07-26,2017-07-21,2.40000000,3.40000000
147,Almond_High,2017,2017-08-10,2017-08-04,3.20000000,3.20000000
148,Almond_High,2017,2017-08-11,2017-08-11,2.50000000,2.50000000
149,Almond_High,2017,2017-08-18,2017-08-18,2.60000000,2.60000000
150,Almond_High,2017,2017-08-19,2017-08-18,2.70000000,2.60000000
151,Almond_High,2017,2017-08-26,2017-08-25,2.30000000,2.60000000
152,Almond_High,2017,2017-08-27,2017-08-25,1.90000000,2.60000000
153,Almond_High,2017,2017-09-03,2017-09-01,3.00000000,1.80000000
154,Almond_High,2017,2017-09-12,2017-09-08,2.70000000,2.30000000
155,Almond_High,2017,2017-09-19,2017-09-15,3.80000000,2.60000000
156,Almond_High,2017,2017-09-20,2017-09-15,3.00000000,2.60000000
157,Almond_High,2017,2017-09-27,2017-09-22,1.00000000,2.30000000
158,Almond_High,2017,2017-09-28,2017-09-22,1.70000000,2.30000000
159,Almond_High,2017,2017-10-05,2017-09-29,2.60000000,2.20000000
160,Almond_High,2017,2017-10-06,2017-10-06,1.70000000,1.70000000
161,Almond_High,2017,2017-10-13,2017-10-13,2.50000000,2.50000000
162,Almond_High,2017,2017-10-14,2017-10-13,1.60000000,2.50000000
163,Almond_High,2017,2017-10-21,2017-10-20,2.00000000,5.00000000
164,Almond_High,2017,2017-10-22,2017-10-20,1.90000000,5.00000000
165,Almond_High,2017,2017-11-06,2017-11-03,2.10000000,2.40000000
166,Almond_High,2017,2017-11-07,2017-11-03,1.30000000,2.40000000
167,Almond_High,2017,2017-11-14,2017-11-10,2.50000000,2.60000000
168,Almond_High,2017,2017-11-15,2017-11-10,1.30000000,2.60000000
169,Almond_High,2017,2017-11-22,2017-11-17,0.70000000,2.90000000
170,Almond_High,2017,2017-11-23,2017-11-17,1.40000000,2.90000000
171,Almond_High,2017,2017-11-30,2017-11-24,1.20000000,1.30000000
172,Almond_High,2017,2017-12-01,2017-12-01,0.90000000,0.90000000
173,Almond_High,2017,2017-12-08,2017-12-08,0.70000000,0.70000000
174,Almond_High,2017,2017-12-16,2017-12-15,2.60000000,1.00000000
175,Almond_High,2017,2017-12-17,2017-12-15,1.20000000,1.00000000
176,Almond_High,2018,2018-01-01,2018-01-01,0.60000000,0.60000000
177,Almond_High,2018,2018-01-10,2018-01-08,1.80000000,1.80000000
178,Almond_High,2018,2018-01-25,2018-01-22,2.40000000,0.90000000
179,Almond_High,2018,2018-01-26,2018-01-22,2.10000000,0.90000000
180,Almond_High,2018,2018-02-03,2018-01-29,1.00000000,0.80000000
181,Almond_High,2018,2018-02-10,2018-02-05,2.20000000,1.10000000
182,Almond_High,2018,2018-02-11,2018-02-05,2.00000000,1.10000000
183,Almond_High,2018,2018-02-18,2018-02-12,3.10000000,2.50000000
184,Almond_High,2018,2018-03-06,2018-03-05,1.20000000,1.80000000
185,Almond_High,2018,2018-03-15,2018-03-12,2.10000000,1.40000000
186,Almond_High,2018,2018-03-23,2018-03-19,2.80000000,0.90000000
187,Almond_High,2018,2018-03-30,2018-03-26,1.30000000,2.20000000
188,Almond_High,2018,2018-03-31,2018-03-26,1.80000000,2.20000000
189,Almond_High,2018,2018-04-08,2018-04-02,3.80000000,3.00000000
190,Almond_High,2018,2018-04-23,2018-04-23,1.70000000,1.70000000
191,Almond_High,2018,2018-04-24,2018-04-23,1.90000000,1.70000000
192,Almond_High,2018,2018-05-02,2018-04-30,2.40000000,3.10000000
193,Almond_High,2018,2018-05-09,2018-05-07,3.60000000,3.50000000
194,Almond_High,2018,2018-05-10,2018-05-07,3.60000000,3.50000000
195,Almond_High,2018,2018-05-17,2018-05-14,3.60000000,2.40000000
196,Almond_High,2018,2018-05-18,2018-05-14,3.20000000,2.40000000
197,Almond_High,2018,2018-05-26,2018-05-21,4.70000000,3.00000000
198,Almond_High,2018,2018-06-02,2018-05-28,2.60000000,2.40000000
199,Almond_High,2018,2018-06-03,2018-05-28,2.10000000,2.40000000
200,Almond_High,2018,2018-06-10,2018-06-04,4.80000000,3.80000000
201,Almond_High,2018,2018-06-11,2018-06-11,3.10000000,3.10000000
202,Almond_High,2018,2018-06-18,2018-06-18,3.30000000,3.30000000
203,Almond_High,2018,2018-06-19,2018-06-18,3.30000000,3.30000000
204,Almond_High,2018,2018-06-26,2018-06-25,2.70000000,2.70000000
205,Almond_High,2018,2018-06-27,2018-06-25,3.20000000,2.70000000
206,Almond_High,2018,2018-07-04,2018-07-02,3.00000000,3.20000000
207,Almond_High,2018,2018-07-05,2018-07-02,2.20000000,3.20000000
208,Almond_High,2018,2018-07-12,2018-07-09,2.20000000,4.80000000
209,Almond_High,2018,2018-07-13,2018-07-09,2.50000000,4.80000000
210,Almond_High,2018,2018-07-20,2018-07-16,3.80000000,3.10000000
211,Almond_High,2018,2018-07-21,2018-07-16,2.90000000,3.10000000
212,Almond_High,2018,2018-07-28,2018-07-23,3.10000000,3.40000000
213,Almond_High,2018,2018-07-29,2018-07-23,2.80000000,3.40000000
214,Almond_High,2018,2018-08-05,2018-07-30,3.30000000,3.10000000
215,Almond_High,2018,2018-08-06,2018-08-06,3.70000000,3.70000000
216,Almond_High,2018,2018-08-13,2018-08-13,2.60000000,2.60000000
217,Almond_High,2018,2018-08-14,2018-08-13,2.50000000,2.60000000
218,Almond_High,2018,2018-08-21,2018-08-20,2.30000000,2.70000000
219,Almond_High,2018,2018-08-22,2018-08-20,2.20000000,2.70000000
220,Almond_High,2018,2018-08-29,2018-08-27,2.20000000,2.10000000
221,Almond_High,2018,2018-08-30,2018-08-27,2.40000000,2.10000000
222,Almond_High,2018,2018-09-06,2018-09-03,2.80000000,2.50000000
223,Almond_High,2018,2018-09-07,2018-09-03,2.90000000,2.50000000
224,Almond_High,2018,2018-09-14,2018-09-10,2.70000000,2.60000000
225,Almond_High,2018,2018-09-15,2018-09-10,2.70000000,2.60000000
226,Almond_High,2018,2018-09-22,2018-09-17,1.70000000,2.40000000
227,Almond_High,2018,2018-09-23,2018-09-17,2.30000000,2.40000000
228,Almond_High,2018,2018-09-30,2018-09-24,2.10000000,2.10000000
229,Almond_High,2018,2018-10-01,2018-10-01,1.90000000,1.90000000
230,Almond_High,2018,2018-10-08,2018-10-08,1.00000000,1.00000000
231,Almond_High,2018,2018-10-09,2018-10-08,2.00000000,1.00000000
232,Almond_High,2018,2018-10-16,2018-10-15,0.70000000,1.30000000
233,Almond_High,2018,2018-10-17,2018-10-15,0.90000000,1.30000000
234,Almond_High,2018,2018-10-24,2018-10-22,2.20000000,2.10000000
235,Almond_High,2018,2018-10-25,2018-10-22,2.10000000,2.10000000
236,Almond_High,2018,2018-11-02,2018-10-29,1.10000000,4.00000000
237,Almond_High,2018,2018-11-09,2018-11-05,0.70000000,2.20000000
238,Almond_High,2018,2018-11-10,2018-11-05,0.80000000,2.20000000
239,Almond_High,2018,2018-11-18,2018-11-12,0.80000000,0.60000000
240,Almond_High,2018,2018-11-25,2018-11-19,1.90000000,0.70000000
241,Almond_High,2018,2018-11-26,2018-11-26,1.20000000,1.20000000
242,Almond_High,2018,2018-12-03,2018-12-03,1.30000000,1.30000000
243,Almond_High,2018,2018-12-11,2018-12-10,1.60000000,1.80000000
244,Almond_High,2018,2018-12-20,2018-12-17,0.80000000,1.30000000
245,Almond_High,2018,2018-12-27,2018-12-24,1.80000000,1.00000000
246,Almond_High,2018,2018-12-28,2018-12-24,1.40000000,1.00000000
247,Almond_High,2019,2019-01-04,2019-01-04,1.10000000,1.10000000
248,Almond_High,2019,2019-01-12,2019-01-11,1.50000000,1.30000000
249,Almond_High,2019,2019-01-13,2019-01-11,0.90000000,1.30000000
250,Almond_High,2019,2019-01-21,2019-01-18,3.80000000,2.10000000
251,Almond_High,2019,2019-02-05,2019-02-01,3.00000000,2.60000000
252,Almond_High,2019,2019-02-06,2019-02-01,1.20000000,2.60000000
253,Almond_High,2019,2019-02-22,2019-02-22,1.50000000,1.50000000
254,Almond_High,2019,2019-03-09,2019-03-08,2.40000000,2.80000000
255,Almond_High,2019,2019-03-10,2019-03-08,1.70000000,2.80000000
256,Almond_High,2019,2019-03-17,2019-03-15,1.10000000,1.30000000
257,Almond_High,2019,2019-03-18,2019-03-15,1.00000000,1.30000000
258,Almond_High,2019,2019-03-26,2019-03-22,1.20000000,0.90000000
259,Almond_High,2019,2019-04-02,2019-03-29,3.00000000,3.80000000
260,Almond_High,2019,2019-04-10,2019-04-05,3.30000000,2.30000000
261,Almond_High,2019,2019-04-18,2019-04-12,1.30000000,2.30000000
262,Almond_High,2019,2019-04-19,2019-04-19,1.00000000,1.00000000
263,Almond_High,2019,2019-04-26,2019-04-26,2.30000000,2.30000000
264,Almond_High,2019,2019-04-27,2019-04-26,1.70000000,2.30000000
265,Almond_High,2019,2019-05-04,2019-05-03,1.90000000,2.20000000
266,Almond_High,2019,2019-05-05,2019-05-03,2.40000000,2.20000000
267,Almond_High,2019,2019-05-12,2019-05-10,2.80000000,2.40000000
268,Almond_High,2019,2019-05-13,2019-05-10,3.00000000,2.40000000
269,Almond_High,2019,2019-06-05,2019-05-31,2.40000000,2.20000000
270,Almond_High,2019,2019-06-06,2019-05-31,3.30000000,2.20000000
271,Almond_High,2019,2019-06-13,2019-06-07,3.00000000,4.30000000
272,Almond_High,2019,2019-06-14,2019-06-14,3.00000000,3.00000000
273,Almond_High,2019,2019-06-21,2019-06-21,3.60000000,3.60000000
274,Almond_High,2019,2019-06-22,2019-06-21,2.50000000,3.60000000
275,Almond_High,2019,2019-06-29,2019-06-28,3.30000000,3.00000000
276,Almond_High,2019,2019-06-30,2019-06-28,2.80000000,3.00000000
277,Almond_High,2019,2019-07-08,2019-07-05,3.50000000,2.90000000
278,Almond_High,2019,2019-07-15,2019-07-12,3.80000000,2.90000000
279,Almond_High,2019,2019-07-16,2019-07-12,3.60000000,2.90000000
280,Almond_High,2019,2019-07-23,2019-07-19,2.50000000,2.80000000
281,Almond_High,2019,2019-07-24,2019-07-19,2.70000000,2.80000000
282,Almond_High,2019,2019-07-31,2019-07-26,1.80000000,2.40000000
283,Almond_High,2019,2019-08-01,2019-07-26,1.80000000,2.40000000
284,Almond_High,2019,2019-08-08,2019-08-02,2.70000000,3.40000000
285,Almond_High,2019,2019-08-09,2019-08-09,3.20000000,3.20000000
286,Almond_High,2019,2019-08-16,2019-08-16,2.70000000,2.70000000
287,Almond_High,2019,2019-08-17,2019-08-16,2.90000000,2.70000000
288,Almond_High,2019,2019-08-24,2019-08-23,2.30000000,2.90000000
289,Almond_High,2019,2019-08-25,2019-08-23,2.70000000,2.90000000
290,Almond_High,2019,2019-09-01,2019-08-30,2.70000000,3.10000000
291,Almond_High,2019,2019-09-02,2019-08-30,2.80000000,3.10000000
292,Almond_High,2019,2019-09-09,2019-09-06,3.40000000,3.10000000
293,Almond_High,2019,2019-09-10,2019-09-06,3.40000000,3.10000000
294,Almond_High,2019,2019-09-18,2019-09-13,2.80000000,2.40000000
295,Almond_High,2019,2019-09-25,2019-09-20,1.10000000,2.30000000
296,Almond_High,2019,2019-10-04,2019-10-04,3.10000000,3.10000000
297,Almond_Low,2016,2016-10-11,2016-10-11,2.40000000,2.40000000
298,Almond_Low,2016,2016-10-18,2016-10-18,5.40000000,5.40000000
299,Almond_Low,2016,2016-10-19,2016-10-18,3.40000000,5.40000000
300,Almond_Low,2016,2016-10-26,2016-10-25,1.80000000,2.10000000
301,Almond_Low,2016,2016-11-11,2016-11-08,1.60000000,1.60000000
302,Almond_Low,2016,2016-11-12,2016-11-08,3.30000000,1.60000000
303,Almond_Low,2017,2017-02-23,2017-02-23,3.70000000,3.70000000
304,Almond_Low,2017,2017-02-24,2017-02-23,1.40000000,3.70000000
305,Almond_Low,2017,2017-03-03,2017-03-02,1.10000000,1.10000000
306,Almond_Low,2017,2017-03-04,2017-03-02,2.30000000,1.10000000
307,Almond_Low,2017,2017-03-11,2017-03-09,3.10000000,2.30000000
308,Almond_Low,2017,2017-03-12,2017-03-09,3.40000000,2.30000000
309,Almond_Low,2017,2017-03-27,2017-03-23,3.90000000,2.60000000
310,Almond_Low,2017,2017-03-28,2017-03-23,3.50000000,2.60000000
311,Almond_Low,2017,2017-04-05,2017-03-30,2.10000000,6.20000000
312,Almond_Low,2017,2017-04-12,2017-04-06,3.80000000,3.70000000
313,Almond_Low,2017,2017-04-13,2017-04-13,2.40000000,2.40000000
314,Almond_Low,2017,2017-04-20,2017-04-20,6.10000000,6.10000000
315,Almond_Low,2017,2017-04-21,2017-04-20,3.00000000,6.10000000
316,Almond_Low,2017,2017-04-28,2017-04-27,6.80000000,5.60000000
317,Almond_Low,2017,2017-04-29,2017-04-27,2.80000000,5.60000000
318,Almond_Low,2017,2017-05-06,2017-05-04,4.90000000,2.10000000
319,Almond_Low,2017,2017-05-07,2017-05-04,2.30000000,2.10000000
320,Almond_Low,2017,2017-05-14,2017-05-11,3.60000000,3.20000000
321,Almond_Low,2017,2017-05-22,2017-05-18,2.40000000,3.30000000
322,Almond_Low,2017,2017-05-23,2017-05-18,2.70000000,3.30000000
323,Almond_Low,2017,2017-05-30,2017-05-25,4.70000000,2.40000000
324,Almond_Low,2017,2017-06-07,2017-06-01,3.80000000,4.30000000
325,Almond_Low,2017,2017-06-08,2017-06-08,4.60000000,4.60000000
326,Almond_Low,2017,2017-06-15,2017-06-15,5.10000000,5.10000000
327,Almond_Low,2017,2017-06-16,2017-06-15,4.50000000,5.10000000
328,Almond_Low,2017,2017-06-23,2017-06-22,3.20000000,2.80000000
329,Almond_Low,2017,2017-07-01,2017-06-29,3.80000000,5.10000000
330,Almond_Low,2017,2017-07-02,2017-06-29,3.00000000,5.10000000
331,Almond_Low,2017,2017-07-09,2017-07-06,4.00000000,5.00000000
332,Almond_Low,2017,2017-07-10,2017-07-06,2.90000000,5.00000000
333,Almond_Low,2017,2017-07-17,2017-07-13,4.50000000,2.60000000
334,Almond_Low,2017,2017-07-18,2017-07-13,3.80000000,2.60000000
335,Almond_Low,2017,2017-07-25,2017-07-20,2.40000000,4.80000000
336,Almond_Low,2017,2017-08-10,2017-08-10,4.70000000,4.70000000
337,Almond_Low,2017,2017-08-11,2017-08-10,4.10000000,4.70000000
338,Almond_Low,2017,2017-08-18,2017-08-17,4.10000000,3.20000000
339,Almond_Low,2017,2017-08-19,2017-08-17,4.00000000,3.20000000
340,Almond_Low,2017,2017-08-26,2017-08-24,2.60000000,3.50000000
341,Almond_Low,2017,2017-08-27,2017-08-24,2.90000000,3.50000000
342,Almond_Low,2017,2017-09-03,2017-08-31,1.90000000,4.10000000
343,Almond_Low,2017,2017-09-04,2017-08-31,5.40000000,4.10000000
344,Almond_Low,2017,2017-09-11,2017-09-07,3.50000000,3.20000000
345,Almond_Low,2017,2017-09-12,2017-09-07,2.00000000,3.20000000
346,Almond_Low,2017,2017-09-19,2017-09-14,4.90000000,3.50000000
347,Almond_Low,2017,2017-09-20,2017-09-14,4.40000000,3.50000000
348,Almond_Low,2017,2017-09-27,2017-09-21,1.50000000,4.50000000
349,Almond_Low,2017,2017-09-28,2017-09-28,2.70000000,2.70000000
350,Almond_Low,2017,2017-10-05,2017-10-05,4.10000000,4.10000000
351,Almond_Low,2017,2017-10-06,2017-10-05,2.30000000,4.10000000
352,Almond_Low,2017,2017-10-13,2017-10-12,4.50000000,5.10000000
353,Almond_Low,2017,2017-10-14,2017-10-12,2.60000000,5.10000000
354,Almond_Low,2017,2017-10-21,2017-10-19,3.60000000,3.40000000
355,Almond_Low,2017,2017-10-22,2017-10-19,3.50000000,3.40000000
356,Almond_Low,2017,2017-10-29,2017-10-26,2.70000000,2.30000000
357,Almond_Low,2017,2017-10-30,2017-10-26,2.70000000,2.30000000
358,Almond_Low,2017,2017-11-06,2017-11-02,3.00000000,2.30000000
359,Almond_Low,2017,2017-11-07,2017-11-02,2.20000000,2.30000000
360,Almond_Low,2017,2017-11-14,2017-11-09,4.10000000,2.40000000
361,Almond_Low,2017,2017-11-15,2017-11-09,2.40000000,2.40000000
362,Almond_Low,2017,2017-11-22,2017-11-16,0.70000000,6.70000000
363,Almond_Low,2017,2017-11-23,2017-11-23,2.50000000,2.50000000
364,Almond_Low,2017,2017-11-30,2017-11-30,2.40000000,2.40000000
365,Almond_Low,2017,2017-12-01,2017-11-30,2.00000000,2.40000000
366,Almond_Low,2017,2017-12-08,2017-12-07,1.20000000,1.00000000
367,Almond_Low,2017,2017-12-16,2017-12-14,6.00000000,1.30000000
368,Almond_Low,2017,2017-12-17,2017-12-14,1.70000000,1.30000000
369,Almond_Low,2018,2018-01-26,2018-01-26,2.70000000,2.70000000
370,Almond_Low,2018,2018-02-02,2018-02-02,1.60000000,1.60000000
371,Almond_Low,2018,2018-02-03,2018-02-02,1.50000000,1.60000000
372,Almond_Low,2018,2018-02-10,2018-02-09,4.30000000,2.90000000
373,Almond_Low,2018,2018-02-11,2018-02-09,3.00000000,2.90000000
374,Almond_Low,2018,2018-02-18,2018-02-16,4.50000000,2.50000000
375,Almond_Low,2018,2018-02-19,2018-02-16,4.30000000,2.50000000
376,Almond_Low,2018,2018-03-06,2018-03-02,1.40000000,6.50000000
